Age,Gender,City,Device_Type,Payment_Method,Email,Test_Group,Campaign_Result
34,Male,Izmir,Tablet,Credit Card,dhughes@example.org,Test A,Success
38,Male,Antalya,Tablet,Credit Card,drakebrandon@example.net,Test A,Failed
31,Male,Izmir,Tablet,Credit Card,valerie65@example.net,Test A,Success
26,Female,Ankara,Mobile,Credit Card,heathersmith@example.org,Test B,Failed
40,Male,Bursa,Desktop,Bank Transfer,kristinmartinez@example.org,Test C,Success
34,Female,Antalya,Mobile,Credit Card,morrischristina@example.org,Test A,Success
21,Female,Istanbul,Mobile,Digital Wallet,browntammy@example.org,Test B,Success
28,Female,Antalya,Tablet,Credit Card,vincentnathan@example.com,Test A,Success
30,Female,Antalya,Mobile,Credit Card,oshelton@example.org,Test A,Success
25,Female,Istanbul,Mobile,Digital Wallet,john36@example.net,Test B,Success
38,Female,Bursa,Desktop,Bank Transfer,dhampton@example.com,Test C,Failed
43,Male,Bursa,Desktop,Bank Transfer,lunasharon@example.net,Test C,Failed
26,Female,Ankara,Mobile,Digital Wallet,lisagallagher@example.net,Test B,Success
28,Female,Antalya,Mobile,Credit Card,elizabethmason@example.net,Test A,Success
36,Female,Antalya,Mobile,Credit Card,nicole83@example.net,Test A,Success
25,Female,Ankara,Mobile,Digital Wallet,stephanie84@example.net,Test B,Success
33,Female,Antalya,Mobile,Credit Card,joseph06@example.net,Test A,Success
25,Female,Ankara,Mobile,Digital Wallet,rodriguezcathy@example.org,Test B,Success
20,Female,Istanbul,Mobile,Digital Wallet,maria37@example.org,Test B,Success
39,Male,Konya,Desktop,Cash on Delivery,brooksariel@example.org,Test C,Failed
25,Female,Ankara,Mobile,Digital Wallet,oliviacollins@example.net,Test B,Failed
26,Female,Ankara,Mobile,Digital Wallet,rebeccamcconnell@example.com,Test B,Success
33,Male,Izmir,Tablet,Credit Card,amanda71@example.net,Test A,Success
35,Male,Izmir,Tablet,Credit Card,bhurley@example.com,Test A,Success
33,Female,Konya,Desktop,Cash on Delivery,xboyd@example.com,Test C,Failed
40,Female,Bursa,Desktop,Bank Transfer,chamberscrystal@example.org,Test C,Success
26,Female,Istanbul,Mobile,Digital Wallet,mckenzie46@example.net,Test B,Success
23,Female,Ankara,Mobile,Credit Card,sara81@example.com,Test B,Success
30,Male,Antalya,Mobile,Credit Card,nhill@example.com,Test A,Success
44,Female,Bursa,Desktop,Cash on Delivery,howardtracey@example.net,Test C,Failed
23,Female,Istanbul,Mobile,Digital Wallet,michael46@example.org,Test B,Success
41,Male,Bursa,Desktop,Cash on Delivery,morganvictoria@example.net,Test C,Failed
31,Female,Antalya,Mobile,Credit Card,lucasandrew@example.com,Test A,Success
20,Female,Ankara,Mobile,Digital Wallet,cookwilliam@example.com,Test B,Success
38,Male,Bursa,Desktop,Cash on Delivery,brownemily@example.org,Test C,Failed
22,Female,Ankara,Mobile,Digital Wallet,virginianewman@example.net,Test B,Success
37,Female,Bursa,Desktop,Cash on Delivery,hoffmanjames@example.com,Test C,Failed
43,Female,Bursa,Desktop,Cash on Delivery,fedwards@example.net,Test C,Failed
39,Male,Konya,Desktop,Cash on Delivery,ajones@example.net,Test C,Failed
38,Female,Konya,Desktop,Bank Transfer,timothy52@example.org,Test C,Failed
37,Male,Antalya,Tablet,Credit Card,crystal25@example.com,Test A,Failed
38,Male,Bursa,Desktop,Cash on Delivery,corybrady@example.net,Test C,Failed
40,Male,Konya,Desktop,Cash on Delivery,sandra15@example.org,Test C,Failed
39,Male,Bursa,Desktop,Bank Transfer,kevin73@example.com,Test C,Failed
24,Female,Istanbul,Mobile,Digital Wallet,bpatterson@example.com,Test B,Success
38,Male,Bursa,Desktop,Cash on Delivery,wrightdanny@example.org,Test C,Failed
41,Female,Bursa,Desktop,Cash on Delivery,chaseandrew@example.com,Test C,Failed
26,Female,Ankara,Mobile,Digital Wallet,allison35@example.org,Test B,Success
41,Female,Bursa,Desktop,Cash on Delivery,sabrinaburns@example.com,Test C,Failed
26,Female,Istanbul,Mobile,Digital Wallet,jennifer90@example.com,Test B,Success
25,Female,Ankara,Mobile,Digital Wallet,richardskristopher@example.com,Test B,Success
38,Female,Bursa,Desktop,Bank Transfer,ashley25@example.com,Test C,Failed
36,Female,Konya,Desktop,Cash on Delivery,idoyle@example.net,Test C,Failed
26,Female,Ankara,Mobile,Digital Wallet,michaelphillips@example.org,Test B,Success
36,Female,Antalya,Tablet,Credit Card,paul95@example.net,Test A,Failed
38,Male,Antalya,Mobile,Credit Card,ewilson@example.net,Test A,Success
20,Female,Istanbul,Mobile,Digital Wallet,brian97@example.net,Test B,Success
43,Female,Bursa,Desktop,Bank Transfer,lesliebennett@example.org,Test C,Failed
45,Female,Bursa,Desktop,Cash on Delivery,michael11@example.com,Test C,Failed
20,Female,Ankara,Mobile,Digital Wallet,tyler69@example.net,Test B,Failed
22,Female,Ankara,Mobile,Credit Card,michelle08@example.com,Test B,Success
20,Female,Ankara,Mobile,Credit Card,taylortravis@example.org,Test B,Success
26,Female,Istanbul,Mobile,Credit Card,xsanchez@example.com,Test B,Success
37,Female,Antalya,Mobile,Credit Card,chaseesparza@example.com,Test A,Success
45,Male,Bursa,Desktop,Bank Transfer,ckelly@example.org,Test C,Failed
45,Male,Konya,Desktop,Bank Transfer,richard66@example.org,Test C,Failed
38,Female,Antalya,Tablet,Credit Card,samuelpena@example.net,Test A,Failed
40,Female,Konya,Desktop,Bank Transfer,oallen@example.org,Test C,Failed
26,Female,Ankara,Mobile,Credit Card,anthony99@example.net,Test B,Success
35,Female,Izmir,Mobile,Credit Card,ibarnett@example.com,Test A,Success
45,Male,Konya,Desktop,Cash on Delivery,matthewcollins@example.org,Test C,Failed
40,Male,Antalya,Tablet,Credit Card,davidfitzgerald@example.com,Test A,Failed
21,Female,Istanbul,Mobile,Credit Card,eprice@example.org,Test B,Success
40,Female,Antalya,Mobile,Credit Card,eric92@example.net,Test A,Success
34,Female,Konya,Desktop,Bank Transfer,larsonkenneth@example.net,Test C,Failed
25,Female,Ankara,Mobile,Digital Wallet,tracy77@example.org,Test B,Failed
30,Male,Antalya,Mobile,Credit Card,jsantana@example.net,Test A,Success
34,Male,Konya,Desktop,Cash on Delivery,hectorayala@example.org,Test C,Failed
36,Female,Antalya,Tablet,Credit Card,john20@example.net,Test A,Success
45,Female,Bursa,Desktop,Cash on Delivery,cartermaria@example.com,Test C,Failed
33,Female,Antalya,Tablet,Credit Card,allentimothy@example.net,Test A,Success
25,Female,Istanbul,Mobile,Credit Card,kristin97@example.com,Test B,Success
22,Female,Ankara,Mobile,Credit Card,rgarza@example.org,Test B,Success
37,Female,Izmir,Tablet,Credit Card,taylorrebekah@example.org,Test A,Success
35,Male,Konya,Desktop,Cash on Delivery,patelgina@example.org,Test C,Failed
34,Female,Izmir,Tablet,Credit Card,anthony89@example.com,Test A,Success
44,Female,Bursa,Desktop,Bank Transfer,vmiller@example.net,Test C,Failed
33,Male,Izmir,Mobile,Credit Card,crawfordstacey@example.com,Test A,Failed
28,Female,Izmir,Mobile,Credit Card,rodriguezchad@example.com,Test A,Success
20,Female,Istanbul,Mobile,Digital Wallet,mitchell53@example.net,Test B,Success
23,Female,Ankara,Mobile,Credit Card,pwilson@example.org,Test B,Success
26,Female,Istanbul,Mobile,Digital Wallet,collinscheryl@example.org,Test B,Success
45,Male,Bursa,Desktop,Cash on Delivery,kluna@example.org,Test C,Success
24,Female,Ankara,Mobile,Credit Card,wbaker@example.com,Test B,Success
20,Female,Ankara,Mobile,Credit Card,colton83@example.com,Test B,Success
38,Female,Izmir,Tablet,Credit Card,kennethwilliams@example.net,Test A,Success
37,Male,Izmir,Mobile,Credit Card,cooperjohn@example.org,Test A,Success
43,Female,Konya,Desktop,Bank Transfer,scox@example.org,Test C,Failed
41,Male,Konya,Desktop,Cash on Delivery,andrew26@example.net,Test C,Failed
29,Female,Izmir,Tablet,Credit Card,timothymoore@example.com,Test A,Success
22,Female,Istanbul,Mobile,Credit Card,curtiskara@example.org,Test B,Success
20,Female,Istanbul,Mobile,Digital Wallet,robinfletcher@example.net,Test B,Success
28,Female,Izmir,Tablet,Credit Card,fmcclain@example.org,Test A,Success
22,Female,Istanbul,Mobile,Credit Card,kevinsmith@example.net,Test B,Success
39,Female,Bursa,Desktop,Cash on Delivery,rossgary@example.com,Test C,Failed
43,Female,Bursa,Desktop,Bank Transfer,brenda34@example.org,Test C,Failed
45,Male,Bursa,Desktop,Bank Transfer,taylortravis@example.org,Test C,Success
21,Female,Ankara,Mobile,Credit Card,fgibson@example.org,Test B,Failed
32,Male,Antalya,Tablet,Credit Card,ryangriffin@example.org,Test A,Success
45,Male,Konya,Desktop,Cash on Delivery,susan56@example.net,Test C,Success
24,Female,Ankara,Mobile,Digital Wallet,wmelendez@example.net,Test B,Failed
36,Female,Konya,Desktop,Bank Transfer,roger45@example.org,Test C,Failed
40,Female,Konya,Desktop,Bank Transfer,mmorris@example.net,Test C,Failed
35,Female,Bursa,Desktop,Bank Transfer,michael07@example.net,Test C,Failed
41,Male,Bursa,Desktop,Bank Transfer,nicholashernandez@example.com,Test C,Success
38,Male,Konya,Desktop,Bank Transfer,ygates@example.org,Test C,Failed
38,Female,Antalya,Tablet,Credit Card,bphillips@example.com,Test A,Failed
38,Female,Bursa,Desktop,Bank Transfer,barbara08@example.com,Test C,Failed
25,Female,Istanbul,Mobile,Digital Wallet,tiffany39@example.org,Test B,Success
33,Female,Konya,Desktop,Bank Transfer,qwarren@example.net,Test C,Failed
22,Female,Ankara,Mobile,Digital Wallet,ascott@example.com,Test B,Success
41,Female,Bursa,Desktop,Cash on Delivery,russellamanda@example.com,Test C,Failed
44,Female,Konya,Desktop,Bank Transfer,pamela95@example.net,Test C,Failed
29,Female,Antalya,Tablet,Credit Card,marvinbrowning@example.org,Test A,Success
38,Female,Antalya,Mobile,Credit Card,kevin58@example.com,Test A,Success
25,Female,Ankara,Mobile,Digital Wallet,guzmancarl@example.com,Test B,Success
29,Female,Izmir,Tablet,Credit Card,michael67@example.net,Test A,Failed
20,Female,Istanbul,Mobile,Digital Wallet,millermichael@example.org,Test B,Failed
25,Female,Ankara,Mobile,Credit Card,youngbradley@example.com,Test B,Success
33,Male,Bursa,Desktop,Cash on Delivery,brandon72@example.org,Test C,Failed
34,Male,Izmir,Tablet,Credit Card,bvasquez@example.net,Test A,Success
33,Male,Izmir,Tablet,Credit Card,powens@example.net,Test A,Failed
22,Female,Ankara,Mobile,Digital Wallet,trevornelson@example.org,Test B,Success
30,Female,Antalya,Mobile,Credit Card,hoovertiffany@example.org,Test A,Success
32,Female,Izmir,Tablet,Credit Card,christieperez@example.org,Test A,Failed
33,Female,Antalya,Tablet,Credit Card,charles02@example.net,Test A,Failed
22,Female,Ankara,Mobile,Credit Card,taylorjessica@example.com,Test B,Success
26,Female,Istanbul,Mobile,Credit Card,jamesbishop@example.com,Test B,Success
20,Female,Istanbul,Mobile,Digital Wallet,paulanguyen@example.net,Test B,Success
24,Female,Ankara,Mobile,Credit Card,brianbutler@example.org,Test B,Success
33,Male,Bursa,Desktop,Bank Transfer,heather05@example.net,Test C,Failed
26,Female,Istanbul,Mobile,Digital Wallet,jennifer41@example.com,Test B,Success
36,Female,Antalya,Tablet,Credit Card,xwilkins@example.net,Test A,Success
35,Male,Bursa,Desktop,Bank Transfer,ureynolds@example.com,Test C,Success
23,Female,Istanbul,Mobile,Credit Card,albert41@example.com,Test B,Success
34,Male,Izmir,Tablet,Credit Card,kjordan@example.org,Test A,Success
29,Male,Antalya,Tablet,Credit Card,dominguezrichard@example.com,Test A,Success
24,Female,Istanbul,Mobile,Digital Wallet,richard71@example.com,Test B,Success
38,Female,Antalya,Tablet,Credit Card,caitlinmoore@example.net,Test A,Failed
35,Male,Izmir,Tablet,Credit Card,howelldestiny@example.com,Test A,Success
26,Female,Ankara,Mobile,Credit Card,reginapitts@example.net,Test B,Success
37,Female,Konya,Desktop,Cash on Delivery,luis43@example.com,Test C,Failed
34,Female,Izmir,Tablet,Credit Card,victorwalker@example.net,Test A,Failed
36,Female,Konya,Desktop,Cash on Delivery,zshepard@example.org,Test C,Failed
23,Female,Ankara,Mobile,Credit Card,miranda50@example.org,Test B,Success
45,Female,Bursa,Desktop,Cash on Delivery,ryan21@example.com,Test C,Failed
21,Female,Ankara,Mobile,Credit Card,hferguson@example.net,Test B,Success
36,Female,Konya,Desktop,Bank Transfer,eharris@example.org,Test C,Failed
22,Female,Ankara,Mobile,Credit Card,mullinskatherine@example.com,Test B,Failed
22,Female,Istanbul,Mobile,Credit Card,mckinneyrebecca@example.org,Test B,Success
25,Female,Ankara,Mobile,Digital Wallet,alecwilliams@example.com,Test B,Success
36,Female,Izmir,Mobile,Credit Card,ortegaryan@example.org,Test A,Failed
23,Female,Ankara,Mobile,Digital Wallet,sara83@example.net,Test B,Success
24,Female,Ankara,Mobile,Digital Wallet,richard10@example.net,Test B,Success
29,Male,Antalya,Tablet,Credit Card,matthew93@example.net,Test A,Success
28,Male,Izmir,Tablet,Credit Card,stephanieanderson@example.net,Test A,Success
40,Female,Bursa,Desktop,Bank Transfer,hferguson@example.net,Test C,Failed
24,Female,Istanbul,Mobile,Credit Card,rodriguezchad@example.com,Test B,Success
39,Male,Bursa,Desktop,Cash on Delivery,christinewalker@example.net,Test C,Success
23,Female,Istanbul,Mobile,Credit Card,omcintosh@example.net,Test B,Success
30,Female,Antalya,Tablet,Credit Card,jessica89@example.net,Test A,Success
45,Female,Konya,Desktop,Bank Transfer,james33@example.com,Test C,Failed
44,Male,Bursa,Desktop,Bank Transfer,ralphleon@example.net,Test C,Failed
22,Female,Istanbul,Mobile,Credit Card,sarahcox@example.com,Test B,Success
25,Female,Istanbul,Mobile,Digital Wallet,davidpierce@example.org,Test B,Success
40,Male,Antalya,Mobile,Credit Card,yolandadennis@example.org,Test A,Success
41,Male,Konya,Desktop,Cash on Delivery,stephanie51@example.com,Test C,Failed
36,Female,Izmir,Mobile,Credit Card,christian13@example.org,Test A,Success
39,Male,Konya,Desktop,Cash on Delivery,oallen@example.org,Test C,Failed
40,Female,Izmir,Tablet,Credit Card,meredithhamilton@example.net,Test A,Success
40,Female,Izmir,Tablet,Credit Card,robersonrobert@example.net,Test A,Success
25,Female,Istanbul,Mobile,Credit Card,ilin@example.com,Test B,Success
30,Female,Izmir,Mobile,Credit Card,mhayes@example.com,Test A,Success
28,Male,Izmir,Tablet,Credit Card,jeromestephens@example.com,Test A,Success
35,Female,Konya,Desktop,Bank Transfer,eric61@example.org,Test C,Failed
39,Male,Izmir,Mobile,Credit Card,nathan07@example.net,Test A,Success
22,Female,Ankara,Mobile,Credit Card,christopherwood@example.net,Test B,Success
36,Male,Konya,Desktop,Bank Transfer,prestonsamuel@example.com,Test C,Failed
33,Male,Antalya,Mobile,Credit Card,seth96@example.net,Test A,Success
34,Female,Konya,Desktop,Cash on Delivery,juanjohnson@example.org,Test C,Failed
42,Female,Bursa,Desktop,Bank Transfer,matthew17@example.org,Test C,Failed
35,Female,Antalya,Mobile,Credit Card,mthompson@example.com,Test A,Failed
35,Male,Antalya,Mobile,Credit Card,tadams@example.com,Test A,Success
33,Male,Bursa,Desktop,Cash on Delivery,pmitchell@example.com,Test C,Failed
38,Female,Konya,Desktop,Cash on Delivery,benjaminwilliams@example.org,Test C,Failed
44,Male,Bursa,Desktop,Bank Transfer,donaldwagner@example.net,Test C,Failed
34,Male,Bursa,Desktop,Cash on Delivery,tiffanyrivera@example.com,Test C,Failed
22,Female,Istanbul,Mobile,Credit Card,jlopez@example.com,Test B,Success
33,Female,Antalya,Mobile,Credit Card,smcbride@example.org,Test A,Success
23,Female,Ankara,Mobile,Digital Wallet,joannathompson@example.net,Test B,Success
23,Female,Istanbul,Mobile,Credit Card,gina01@example.net,Test B,Success
20,Female,Ankara,Mobile,Credit Card,matthew41@example.org,Test B,Success
34,Female,Antalya,Mobile,Credit Card,madelinerichards@example.org,Test A,Success
37,Female,Konya,Desktop,Cash on Delivery,jacksonkelly@example.net,Test C,Failed
39,Female,Izmir,Tablet,Credit Card,iellis@example.org,Test A,Success
38,Female,Bursa,Desktop,Bank Transfer,ericatucker@example.com,Test C,Failed
35,Female,Izmir,Mobile,Credit Card,cory38@example.org,Test A,Success
37,Female,Konya,Desktop,Cash on Delivery,dgaines@example.com,Test C,Failed
33,Female,Bursa,Desktop,Cash on Delivery,jonathan87@example.com,Test C,Failed
40,Female,Antalya,Mobile,Credit Card,wsmith@example.com,Test A,Success
37,Female,Bursa,Desktop,Cash on Delivery,nstevens@example.org,Test C,Success
42,Female,Bursa,Desktop,Bank Transfer,edwardslawrence@example.org,Test C,Failed
42,Male,Konya,Desktop,Cash on Delivery,fosternancy@example.com,Test C,Failed
29,Male,Antalya,Mobile,Credit Card,ajones@example.com,Test A,Success
44,Female,Bursa,Desktop,Cash on Delivery,samuel69@example.com,Test C,Failed
35,Male,Konya,Desktop,Cash on Delivery,kathleen25@example.com,Test C,Failed
28,Female,Izmir,Mobile,Credit Card,ambercollins@example.org,Test A,Failed
30,Male,Izmir,Mobile,Credit Card,diamondryan@example.org,Test A,Success
40,Male,Izmir,Mobile,Credit Card,brianna69@example.org,Test A,Success
43,Male,Konya,Desktop,Bank Transfer,michael45@example.net,Test C,Failed
36,Female,Bursa,Desktop,Cash on Delivery,portergrace@example.net,Test C,Success
36,Female,Konya,Desktop,Bank Transfer,smithemily@example.net,Test C,Success
39,Female,Izmir,Mobile,Credit Card,lisa57@example.org,Test A,Success
40,Female,Antalya,Mobile,Credit Card,gcarlson@example.net,Test A,Failed
37,Male,Bursa,Desktop,Bank Transfer,kennethjordan@example.net,Test C,Failed
24,Female,Ankara,Mobile,Digital Wallet,ydavis@example.net,Test B,Success
28,Female,Izmir,Mobile,Credit Card,smithaaron@example.org,Test A,Success
36,Female,Bursa,Desktop,Bank Transfer,fmartin@example.org,Test C,Failed
40,Female,Antalya,Mobile,Credit Card,stephen38@example.net,Test A,Failed
28,Male,Antalya,Tablet,Credit Card,matthewclark@example.org,Test A,Failed
42,Male,Bursa,Desktop,Cash on Delivery,samuel69@example.com,Test C,Failed
35,Male,Bursa,Desktop,Cash on Delivery,mark41@example.org,Test C,Success
25,Female,Ankara,Mobile,Credit Card,raymondspence@example.net,Test B,Failed
41,Male,Bursa,Desktop,Cash on Delivery,timothygriffin@example.com,Test C,Failed
43,Male,Bursa,Desktop,Cash on Delivery,brenda17@example.com,Test C,Failed
26,Female,Ankara,Mobile,Digital Wallet,jonesmichael@example.com,Test B,Success
39,Female,Konya,Desktop,Cash on Delivery,rwoods@example.org,Test C,Failed
36,Female,Izmir,Tablet,Credit Card,zestrada@example.net,Test A,Success
24,Female,Istanbul,Mobile,Digital Wallet,gabriella04@example.com,Test B,Success
21,Female,Istanbul,Mobile,Credit Card,ocox@example.org,Test B,Failed
21,Female,Ankara,Mobile,Digital Wallet,robinmoses@example.org,Test B,Success
31,Female,Izmir,Mobile,Credit Card,raydanny@example.org,Test A,Success
25,Female,Ankara,Mobile,Digital Wallet,ckelly@example.net,Test B,Failed
25,Female,Istanbul,Mobile,Digital Wallet,panderson@example.net,Test B,Failed
40,Female,Antalya,Mobile,Credit Card,ryan21@example.com,Test A,Failed
30,Female,Izmir,Mobile,Credit Card,colinking@example.org,Test A,Success
25,Female,Istanbul,Mobile,Credit Card,adamsjennifer@example.org,Test B,Failed
28,Male,Izmir,Tablet,Credit Card,ariaskenneth@example.org,Test A,Failed
26,Female,Ankara,Mobile,Digital Wallet,rrowe@example.org,Test B,Success
39,Female,Izmir,Tablet,Credit Card,michael05@example.com,Test A,Success
25,Female,Istanbul,Mobile,Credit Card,nicolethompson@example.org,Test B,Failed
26,Female,Ankara,Mobile,Digital Wallet,newtonmarissa@example.org,Test B,Success
36,Female,Izmir,Mobile,Credit Card,william96@example.net,Test A,Success
21,Female,Istanbul,Mobile,Credit Card,xharmon@example.org,Test B,Success
20,Female,Ankara,Mobile,Credit Card,guerrajoseph@example.com,Test B,Success
25,Female,Ankara,Mobile,Digital Wallet,whitejanet@example.net,Test B,Success
34,Female,Izmir,Tablet,Credit Card,ruben05@example.org,Test A,Success
35,Female,Bursa,Desktop,Cash on Delivery,mking@example.net,Test C,Success
21,Female,Ankara,Mobile,Digital Wallet,tmartin@example.com,Test B,Success
45,Male,Konya,Desktop,Cash on Delivery,brandyparker@example.com,Test C,Failed
35,Female,Antalya,Mobile,Credit Card,eric56@example.net,Test A,Success
40,Female,Antalya,Tablet,Credit Card,chandlerpamela@example.net,Test A,Failed
29,Male,Antalya,Mobile,Credit Card,kendrasmall@example.org,Test A,Success
39,Female,Bursa,Desktop,Cash on Delivery,katherinemyers@example.com,Test C,Failed
22,Female,Ankara,Mobile,Credit Card,joycevalerie@example.com,Test B,Success
23,Female,Ankara,Mobile,Credit Card,lucerodebra@example.org,Test B,Success
39,Female,Konya,Desktop,Bank Transfer,timothy52@example.org,Test C,Failed
42,Female,Konya,Desktop,Cash on Delivery,melissa70@example.org,Test C,Failed
39,Female,Izmir,Mobile,Credit Card,john92@example.net,Test A,Success
34,Male,Izmir,Tablet,Credit Card,marshallmegan@example.com,Test A,Success
42,Male,Konya,Desktop,Bank Transfer,ashley61@example.net,Test C,Failed
38,Female,Konya,Desktop,Cash on Delivery,peterguerra@example.com,Test C,Failed
35,Female,Antalya,Tablet,Credit Card,belindasilva@example.com,Test A,Success
21,Female,Istanbul,Mobile,Credit Card,guy55@example.org,Test B,Success
22,Female,Istanbul,Mobile,Credit Card,gonzalezemily@example.org,Test B,Success
43,Male,Bursa,Desktop,Cash on Delivery,hchavez@example.org,Test C,Failed
36,Male,Konya,Desktop,Cash on Delivery,btate@example.net,Test C,Success
26,Female,Ankara,Mobile,Digital Wallet,santosapril@example.com,Test B,Success
37,Female,Antalya,Mobile,Credit Card,paul62@example.com,Test A,Success
42,Male,Bursa,Desktop,Cash on Delivery,cynthia66@example.org,Test C,Failed
22,Female,Istanbul,Mobile,Credit Card,nrodriguez@example.net,Test B,Failed
34,Female,Bursa,Desktop,Bank Transfer,keith93@example.com,Test C,Failed
21,Female,Istanbul,Mobile,Digital Wallet,lowelori@example.com,Test B,Failed
29,Male,Antalya,Tablet,Credit Card,arobbins@example.org,Test A,Success
26,Female,Istanbul,Mobile,Digital Wallet,michael54@example.org,Test B,Success
20,Female,Ankara,Mobile,Digital Wallet,scurry@example.net,Test B,Failed
45,Female,Konya,Desktop,Bank Transfer,rhonda72@example.net,Test C,Failed
24,Female,Istanbul,Mobile,Credit Card,ljackson@example.net,Test B,Success
38,Female,Antalya,Tablet,Credit Card,vclark@example.net,Test A,Failed
36,Female,Izmir,Mobile,Credit Card,browncatherine@example.net,Test A,Success
34,Female,Antalya,Tablet,Credit Card,yrodgers@example.org,Test A,Success
31,Male,Izmir,Tablet,Credit Card,whernandez@example.net,Test A,Success
42,Male,Bursa,Desktop,Bank Transfer,griffithmichelle@example.com,Test C,Failed
36,Female,Antalya,Mobile,Credit Card,swilliams@example.com,Test A,Success
44,Female,Bursa,Desktop,Cash on Delivery,theresa91@example.net,Test C,Failed
31,Female,Izmir,Mobile,Credit Card,vincentgeorge@example.net,Test A,Success
26,Female,Istanbul,Mobile,Digital Wallet,donnafisher@example.com,Test B,Success
21,Female,Istanbul,Mobile,Digital Wallet,wigginsanthony@example.com,Test B,Success
38,Female,Antalya,Mobile,Credit Card,sharphenry@example.com,Test A,Success
21,Female,Ankara,Mobile,Credit Card,bradymccann@example.net,Test B,Failed
33,Male,Izmir,Mobile,Credit Card,kathleencastro@example.com,Test A,Failed
23,Female,Istanbul,Mobile,Credit Card,rhondaedwards@example.net,Test B,Success
21,Female,Ankara,Mobile,Credit Card,richard10@example.net,Test B,Success
40,Female,Konya,Desktop,Cash on Delivery,kevin54@example.org,Test C,Failed
39,Female,Izmir,Mobile,Credit Card,joel72@example.org,Test A,Success
21,Female,Istanbul,Mobile,Credit Card,lovejeanette@example.com,Test B,Success
36,Female,Izmir,Mobile,Credit Card,weberlarry@example.org,Test A,Success
42,Male,Bursa,Desktop,Bank Transfer,jmartinez@example.com,Test C,Failed
24,Female,Istanbul,Mobile,Credit Card,sierra18@example.net,Test B,Success
43,Male,Konya,Desktop,Cash on Delivery,sanfordtonya@example.net,Test C,Failed
24,Female,Ankara,Mobile,Credit Card,awalker@example.net,Test B,Success
40,Male,Bursa,Desktop,Cash on Delivery,cody18@example.org,Test C,Failed
32,Female,Antalya,Tablet,Credit Card,kyle66@example.org,Test A,Success
37,Male,Konya,Desktop,Cash on Delivery,michelle84@example.com,Test C,Failed
37,Male,Antalya,Mobile,Credit Card,hallkurt@example.org,Test A,Success
23,Female,Istanbul,Mobile,Digital Wallet,gregoryesparza@example.net,Test B,Success
32,Female,Izmir,Mobile,Credit Card,eromero@example.net,Test A,Success
22,Female,Ankara,Mobile,Credit Card,susan99@example.com,Test B,Success
21,Female,Istanbul,Mobile,Digital Wallet,wrightheather@example.com,Test B,Success
39,Female,Izmir,Tablet,Credit Card,christianhoover@example.org,Test A,Success
39,Male,Konya,Desktop,Cash on Delivery,sotoshannon@example.com,Test C,Failed
22,Female,Ankara,Mobile,Credit Card,fjohnson@example.com,Test B,Success
42,Male,Konya,Desktop,Cash on Delivery,mthompson@example.com,Test C,Failed
21,Female,Ankara,Mobile,Credit Card,ugentry@example.com,Test B,Success
45,Female,Konya,Desktop,Bank Transfer,gregoryharding@example.net,Test C,Failed
36,Female,Bursa,Desktop,Bank Transfer,webbheidi@example.org,Test C,Failed
26,Female,Ankara,Mobile,Credit Card,juliadavidson@example.org,Test B,Success
28,Female,Izmir,Mobile,Credit Card,bnelson@example.org,Test A,Success
24,Female,Istanbul,Mobile,Credit Card,staceycowan@example.com,Test B,Success
45,Female,Konya,Desktop,Bank Transfer,karencaldwell@example.org,Test C,Success
38,Female,Antalya,Tablet,Credit Card,silvabrandon@example.org,Test A,Failed
38,Female,Antalya,Mobile,Credit Card,bradshawtammie@example.net,Test A,Success
24,Female,Istanbul,Mobile,Digital Wallet,elizabeth37@example.org,Test B,Failed
37,Female,Antalya,Tablet,Credit Card,debramercer@example.com,Test A,Failed
44,Male,Bursa,Desktop,Cash on Delivery,brenda17@example.com,Test C,Failed
34,Female,Konya,Desktop,Cash on Delivery,justingibbs@example.com,Test C,Failed
44,Female,Konya,Desktop,Cash on Delivery,latoya13@example.org,Test C,Failed
41,Female,Bursa,Desktop,Cash on Delivery,walter95@example.net,Test C,Success
35,Male,Bursa,Desktop,Bank Transfer,christophersantos@example.org,Test C,Failed
22,Female,Ankara,Mobile,Credit Card,vanessafarley@example.com,Test B,Success
33,Female,Antalya,Tablet,Credit Card,moralestaylor@example.net,Test A,Success
25,Female,Ankara,Mobile,Digital Wallet,druiz@example.com,Test B,Success
23,Female,Istanbul,Mobile,Digital Wallet,newtonbradley@example.com,Test B,Success
36,Female,Izmir,Mobile,Credit Card,porterjason@example.org,Test A,Success
37,Female,Bursa,Desktop,Cash on Delivery,holly62@example.com,Test C,Failed
33,Female,Bursa,Desktop,Bank Transfer,nicholaswelch@example.org,Test C,Failed
34,Male,Bursa,Desktop,Bank Transfer,paul62@example.com,Test C,Failed
28,Female,Antalya,Tablet,Credit Card,michael46@example.org,Test A,Failed
29,Female,Izmir,Tablet,Credit Card,foxchristina@example.org,Test A,Success
43,Female,Bursa,Desktop,Bank Transfer,mpage@example.net,Test C,Failed
35,Female,Bursa,Desktop,Bank Transfer,phillipsnicole@example.org,Test C,Failed
38,Female,Izmir,Tablet,Credit Card,vargasalexis@example.org,Test A,Success
20,Female,Istanbul,Mobile,Digital Wallet,wbaker@example.com,Test B,Success
20,Female,Ankara,Mobile,Digital Wallet,adrian72@example.com,Test B,Success
35,Female,Konya,Desktop,Bank Transfer,alice03@example.org,Test C,Failed
